# Поправки ударений: модель Silero Stress ставит иначе, AOT и Викисловарь согласны. tools/stress_fixes.py build
# слово = ударение  # частота в субтитрах, как ставит модель, разбор AOT
клятая = кл+ятая  # 6, модель клят+ая, клясть:PARTICIPLE:imperf,trans,anim,inanim,past,pass,sg,fem,nom
клятую = кл+ятую  # 6, модель клят+ую, клясть:PARTICIPLE:imperf,trans,anim,inanim,past,pass,sg,fem,acc
копнут = копн+ут  # 6, модель к+опнут, копнуть:V:perf,trans,act,fut,3p,pl
мегере = мег+ере  # 6, модель м+егере, мегера:N:anim,fem,sg,dat
подою = подо+ю  # 6, модель под+ою, подоить:V:perf,trans,act,fut,1p,sg
рассыпаемся = рассып+аемся  # 6, модель расс+ыпаемся, рассыпаться:V:imperf,intrans,act,pres,1p,pl
силка = силк+а  # 6, модель с+илка, силок:N:inanim,mas,sg,gen
щелям = щел+ям  # 6, модель щ+елям, щель:N:inanim,fem,pl,dat
броды = бр+оды  # 5, модель брод+ы, брод:N:inanim,mas,pl,acc
бурам = б+урам  # 5, модель бур+ам, бур:N:anim,mas,pl,dat
едя = ед+я  # 5, модель +едя, есть:ADV_PARTICIPLE:imperf,trans,act,pres
знамениям = зн+амениям  # 5, модель знам+ениям, знамение:N:inanim,neu,pl,dat
отбегу = отбег+у  # 5, модель отб+егу, отбежать:V:perf,intrans,act,fut,1p,sg
отсыпайся = отсып+айся  # 5, модель отс+ыпайся, отсыпаться:V:imperf,intrans,act,imp,2p,sg
подбегу = подбег+у  # 5, модель подб+егу, подбежать:V:perf,intrans,act,fut,1p,sg
пододвину = пододв+ину  # 5, модель пододвину, пододвинуть:V:perf,trans,act,fut,1p,sg
сарычи = сарыч+и  # 5, модель сар+ычи, сарыч:N:anim,mas,pl,nom
хряки = хряк+и  # 5, модель хр+яки, хряк:N:anim,mas,pl,nom
хряков = хряк+ов  # 5, модель хр+яков, хряк:N:anim,mas,pl,acc
ворожеи = вороже+и  # 4, модель ворож+еи, ворожея:N:anim,fem,pl,nom
грязевым = грязев+ым  # 4, модель гр+язевым, грязевой:A:mas,sg,ins,anim,inanim
длиннейшая = длинн+ейшая  # 4, модель дл+иннейшая, длинный:A:qual,superl,fem,sg,nom,anim,inanim
козырях = козыр+ях  # 4, модель к+озырях, козырь:N:anim,mas,pl,prp
логину = лог+ину  # 4, модель л+огину, логин:N:inanim,mas,sg,dat
манком = манк+ом  # 4, модель м+анком, манок:N:anim,mas,sg,ins
